Season;Month;time[months];S0;S1;S2;S3;S4
1;1;1;66;66;66;66;66
1;2;2;110;110;110;110;110
1;3;3;124;124;124;124;124
1;4;4;384;384;384;384;384
1;5;5;287;287;287;287;287
1;6;6;179;179;179;179;179
2;1;7;120;117;94;61;10
2;2;8;171;165;133;86;13
2;3;9;198;191;154;99;14
2;4;10;646;623;501;321;44
2;5;11;357;344;277;177;24
2;6;12;207;199;161;103;14
3;1;13;138;129;86;39;1
3;2;14;161;150;98;43;1
3;3;15;185;173;111;48;1
3;4;16;593;554;351;146;1
3;5;17;334;312;198;83;0
3;6;18;201;188;119;50;0
4;1;19;135;121;62;17;0
4;2;20;164;147;74;20;0
4;3;21;194;175;87;24;0
4;4;22;638;577;286;80;0
4;5;23;357;323;160;45;0
4;6;24;212;191;95;26;0
5;1;25;143;125;50;11;0
5;2;26;171;148;58;12;0
5;3;27;202;174;68;14;0
5;4;28;662;571;221;46;0
5;5;29;371;320;124;26;0
5;6;30;221;191;74;15;0
6;1;31;148;124;39;5;0
6;2;32;176;149;47;6;0
6;3;33;209;176;56;7;0
6;4;34;686;579;182;22;0
6;5;35;385;325;102;13;0
6;6;36;229;193;61;8;0
7;1;37;154;127;32;2;0
7;2;38;183;151;38;3;0
7;3;39;216;178;44;3;0
7;4;40;708;584;141;12;0
7;5;41;397;328;79;7;0
7;6;42;236;195;47;4;0
8;1;43;159;127;25;1;0
8;2;44;190;152;30;1;0
8;3;45;224;179;35;1;0
8;4;46;737;589;114;5;0
8;5;47;413;330;64;3;0
8;6;48;246;197;38;2;0
9;1;49;166;129;20;0;0
9;2;50;198;153;24;0;0
9;3;51;234;181;29;0;0
9;4;52;766;596;97;0;0
9;5;53;430;334;54;0;0
9;6;54;255;199;32;0;0
10;1;55;172;130;17;0;0
10;2;56;204;154;20;0;0
10;3;57;241;183;24;0;0
10;4;58;793;601;80;0;0
10;5;59;445;337;45;0;0
10;6;60;265;200;26;0;0
11;1;61;179;130;14;0;0
11;2;62;213;154;16;0;0
11;3;63;252;183;19;0;0
11;4;64;829;601;63;0;0
11;5;65;464;337;35;0;0
11;6;66;276;200;21;0;0
12;1;67;185;130;11;0;0
12;2;68;220;154;13;0;0
12;3;69;260;183;16;0;0
12;4;70;856;601;51;0;0
12;5;71;480;337;29;0;0
12;6;72;285;200;17;0;0
13;1;73;192;130;9;0;0
13;2;74;229;154;11;0;0
13;3;75;271;183;13;0;0
13;4;76;890;601;41;0;0
13;5;77;499;337;23;0;0
13;6;78;297;200;14;0;0
14;1;79;200;130;7;0;0
14;2;80;238;154;9;0;0
14;3;81;281;183;11;0;0
14;4;82;924;601;34;0;0
14;5;83;518;337;19;0;0
14;6;84;308;200;11;0;0
15;1;85;207;130;7;0;0
15;2;86;246;154;8;0;0
15;3;87;291;183;9;0;0
15;4;88;958;601;29;0;0
15;5;89;537;337;16;0;0
15;6;90;319;200;10;0;0
16;1;91;214;130;5;0;0
16;2;92;256;154;6;0;0
16;3;93;303;183;7;0;0
16;4;94;998;601;22;0;0
16;5;95;560;337;13;0;0
16;6;96;333;200;8;0;0
17;1;97;223;130;4;0;0
17;2;98;267;154;4;0;0
17;3;99;315;183;5;0;0
17;4;100;1037;601;17;0;0
17;5;101;582;337;9;0;0
17;6;102;346;200;6;0;0
18;1;103;232;130;3;0;0
18;2;104;276;154;4;0;0
18;3;105;326;183;5;0;0
18;4;106;1072;601;17;0;0
18;5;107;601;337;9;0;0
18;6;108;357;200;6;0;0
19;1;109;240;130;3;0;0
19;2;110;286;154;4;0;0
19;3;111;338;183;5;0;0
19;4;112;1110;601;17;0;0
19;5;113;623;337;9;0;0
19;6;114;370;200;6;0;0
20;1;115;249;130;3;0;0
20;2;116;297;154;4;0;0
20;3;117;351;183;5;0;0
20;4;118;1156;601;17;0;0
20;5;119;648;337;9;0;0
20;6;120;385;200;6;0;0
